,Cust_Id,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness,label
263,264,7,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,5,F,call,8,10,6,7,4,0
264,265,8,Passives,Y,4,7,Married,Tier1,Card,7,M,e-comm,10,4,9,1,5,1
265,266,10,Promoter,Y,4,7,Married,Tier1,e-Wallet,7,F,call,9,9,9,1,10,1
266,267,10,Promoter,Y,4,6,Married,Tier1,Cash,6,M,m-comm,10,9,3,5,9,1
267,268,7,Passives,N,4,4,Not Married,Tier1,Ziggy Credit,6,F,e-comm,10,3,3,6,2,2
268,269,9,Promoter,Y,4,3,Married,Tier1,Card,7,M,m-comm,10,1,10,6,7,1
269,270,7,Passives,N,4,3,Not Married,Tier3,e-Wallet,3,F,call,4,4,3,1,4,2
270,271,6,Detractor,Y,4,9,Married,Tier1,Cash,2,M,call,9,6,3,6,1,0
271,272,8,Passives,N,4,9,Not Married,Tier2,Ziggy Credit,6,F,m-comm,10,7,1,1,1,0
272,273,7,Passives,N,4,3,Married,Tier3,Card,2,M,call,6,5,4,3,9,1
273,274,6,Detractor,Y,4,2,Not Married,Tier1,e-Wallet,5,F,call,9,9,8,7,5,0
274,275,8,Passives,Y,4,3,Married,Tier2,Cash,1,M,m-comm,10,3,10,2,3,2
275,276,7,Passives,Y,4,6,Not Married,Tier3,Ziggy Credit,3,F,call,8,3,2,6,3,2
276,277,3,Detractor,N,4,7,Married,Tier1,Card,7,M,call,9,1,10,5,1,2
277,278,7,Passives,N,4,8,Not Married,Tier2,e-Wallet,4,F,m-comm,9,8,2,7,2,0
278,279,7,Passives,N,4,3,Married,Tier3,Cash,4,M,call,8,9,6,4,4,0
279,280,5,Detractor,N,4,2,Not Married,Tier1,Ziggy Credit,3,F,call,9,7,8,2,1,0
280,281,1,Detractor,N,4,8,Married,Tier2,Card,5,M,call,10,4,3,1,6,2
281,282,7,Passives,N,4,2,Not Married,Tier3,e-Wallet,4,F,call,4,4,6,6,7,1
282,283,7,Passives,Y,4,2,Married,Tier1,Cash,7,M,e-comm,10,7,3,4,5,1
283,284,0,Detractor,N,4,2,Not Married,Tier2,Ziggy Credit,2,F,call,10,7,6,10,3,0
284,285,8,Passives,Y,4,2,Married,Tier3,Card,7,M,call,7,4,7,10,4,2
285,286,5,Detractor,N,4,4,Not Married,Tier1,e-Wallet,2,F,call,10,10,9,3,2,0
286,287,6,Detractor,N,4,3,Married,Tier2,Cash,1,M,call,9,4,4,8,3,2
287,288,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,5,F,call,7,2,10,6,4,2
288,289,0,Detractor,N,4,4,Married,Tier1,Card,5,M,call,9,1,7,5,4,2
289,290,8,Passives,N,4,1,Not Married,Tier2,e-Wallet,6,F,m-comm,9,2,2,10,1,2
290,291,9,Promoter,Y,4,4,Married,Tier3,Cash,5,M,call,7,10,3,2,9,1
291,292,5,Detractor,N,4,9,Not Married,Tier1,Ziggy Credit,5,F,call,9,3,10,8,3,2
292,293,2,Detractor,N,4,1,Married,Tier2,Card,6,M,call,9,7,7,3,1,0
293,294,7,Passives,N,4,10,Not Married,Tier3,e-Wallet,1,F,call,5,7,5,8,10,1
294,295,5,Detractor,N,4,10,Married,Tier1,Cash,4,M,call,10,10,5,7,2,0
295,296,0,Detractor,N,4,8,Not Married,Tier2,Ziggy Credit,3,F,call,9,9,2,8,4,0
296,297,7,Passives,Y,4,1,Married,Tier3,Card,2,M,call,7,1,8,3,6,2
297,298,0,Detractor,N,4,6,Not Married,Tier1,e-Wallet,1,F,call,6,5,10,2,3,2
298,299,8,Passives,Y,4,9,Married,Tier2,Cash,1,M,m-comm,9,4,9,5,2,2
299,300,8,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,1,F,call,8,8,6,4,8,1
300,301,4,Detractor,N,4,5,Married,Tier1,Card,1,M,call,10,8,9,6,6,0
301,302,1,Detractor,N,4,10,Not Married,Tier2,e-Wallet,5,F,call,7,9,4,6,5,0
302,303,7,Passives,N,4,5,Married,Tier3,Cash,1,M,call,8,1,8,8,10,2
303,304,4,Detractor,N,4,5,Not Married,Tier1,Ziggy Credit,3,F,call,6,6,7,10,3,0
304,305,8,Passives,Y,4,9,Married,Tier2,Card,6,M,m-comm,8,8,5,3,1,0
305,306,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,3,F,call,5,7,5,9,6,0
306,307,0,Detractor,N,4,7,Married,Tier1,Cash,7,M,call,4,10,10,7,6,0
307,308,6,Detractor,N,4,1,Not Married,Tier2,Ziggy Credit,1,F,call,9,10,4,4,4,0
308,309,7,Passives,N,4,6,Married,Tier3,Card,6,M,call,5,3,8,9,10,1
309,310,3,Detractor,N,4,7,Not Married,Tier1,e-Wallet,6,F,call,8,2,3,10,3,2
310,311,0,Detractor,N,4,9,Married,Tier2,Cash,3,M,call,2,10,8,8,3,0
311,312,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,2,F,call,5,1,3,4,8,2
312,313,7,Passives,Y,4,6,Married,Tier1,Card,3,M,e-comm,5,2,10,7,3,2
313,314,1,Detractor,N,4,2,Not Married,Tier2,e-Wallet,3,F,call,9,5,6,9,3,2
314,315,7,Passives,Y,4,6,Married,Tier3,Cash,1,M,call,4,9,4,8,7,0
315,316,2,Detractor,N,4,8,Not Married,Tier1,Ziggy Credit,4,F,call,8,5,3,1,2,0
316,317,7,Passives,Y,4,3,Married,Tier2,Card,2,M,m-comm,8,4,9,7,3,2
317,318,10,Promoter,Y,4,5,Married,Tier1,e-Wallet,5,F,call,3,1,2,6,7,1
318,319,7,Passives,Y,4,9,Married,Tier1,Cash,6,M,e-comm,10,1,5,9,1,2
319,320,3,Detractor,N,4,1,Not Married,Tier2,Ziggy Credit,1,F,call,9,6,10,6,6,2
320,321,8,Passives,Y,4,4,Married,Tier3,Card,3,M,call,8,5,9,2,4,2
321,322,10,Promoter,N,4,5,Married,Tier1,e-Wallet,6,F,m-comm,4,3,3,5,8,1
322,323,0,Detractor,N,4,8,Married,Tier2,Cash,7,M,call,6,5,2,7,2,2
323,324,7,Passives,N,4,3,Not Married,Tier3,Ziggy Credit,1,F,call,4,3,3,8,3,2
324,325,9,Promoter,Y,4,5,Married,Tier1,Card,10,M,m-comm,2,9,7,4,10,1
325,326,10,Promoter,N,4,7,Married,Tier1,e-Wallet,9,F,m-comm,3,4,10,5,9,1
326,327,7,Passives,N,4,6,Married,Tier3,Cash,7,M,call,7,2,5,1,4,2
327,328,5,Detractor,N,4,9,Not Married,Tier1,Ziggy Credit,4,F,call,3,3,4,1,5,2
328,329,8,Passives,Y,4,2,Married,Tier2,Card,1,M,m-comm,9,5,7,6,10,1
329,330,8,Passives,N,4,1,Not Married,Tier3,e-Wallet,1,F,call,8,7,6,5,5,0
330,331,5,Detractor,Y,4,8,Married,Tier1,Cash,2,M,call,10,2,3,4,1,2
331,332,4,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,6,F,call,4,1,2,6,4,2
332,333,7,Passives,N,4,4,Married,Tier3,Card,4,M,call,5,10,5,5,10,1
333,334,0,Detractor,N,4,3,Not Married,Tier1,e-Wallet,1,F,call,5,9,2,4,2,0
334,335,0,Detractor,N,4,5,Married,Tier2,Cash,2,M,call,3,9,4,6,2,0
335,336,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,6,F,call,7,4,10,5,1,2
336,337,9,Promoter,Y,4,4,Married,Tier1,Card,5,M,m-comm,6,1,10,8,10,1
337,338,5,Detractor,N,4,9,Not Married,Tier2,e-Wallet,5,F,call,2,10,5,10,1,0
338,339,9,Promoter,N,4,10,Married,Tier3,Cash,7,M,call,6,10,3,9,5,1
339,340,4,Detractor,N,4,5,Not Married,Tier1,Ziggy Credit,2,F,call,7,2,5,5,6,2
340,341,6,Detractor,N,4,1,Married,Tier2,Card,5,M,call,9,7,9,10,2,0
341,342,7,Passives,N,4,4,Not Married,Tier3,e-Wallet,6,F,call,6,4,8,5,7,1
342,343,10,Promoter,Y,4,10,Married,Tier1,Cash,8,M,m-comm,1,10,9,3,8,1
343,344,9,Promoter,N,4,6,Married,Tier1,Ziggy Credit,8,F,m-comm,6,9,2,9,10,1
344,345,10,Promoter,Y,4,5,Married,Tier1,Card,9,M,m-comm,5,7,6,3,8,1
345,346,7,Passives,N,4,9,Not Married,Tier1,e-Wallet,2,F,e-comm,9,9,6,8,2,0
346,347,1,Detractor,N,4,4,Married,Tier2,Cash,4,M,call,10,3,10,9,6,2
347,348,7,Passives,N,4,6,Not Married,Tier3,Ziggy Credit,3,F,call,6,8,2,5,8,1
348,349,2,Detractor,N,4,3,Married,Tier1,Card,2,M,call,4,1,5,9,5,2
349,350,4,Detractor,N,4,8,Not Married,Tier2,e-Wallet,3,F,call,1,9,10,3,2,0
350,351,10,Promoter,Y,4,9,Married,Tier1,Cash,7,M,m-comm,5,10,7,6,10,1
351,352,6,Detractor,N,4,5,Not Married,Tier1,Ziggy Credit,5,F,call,9,8,7,3,5,0
352,353,2,Detractor,N,4,6,Married,Tier2,Card,5,M,call,9,9,10,3,4,0
353,354,10,Promoter,N,4,7,Married,Tier1,e-Wallet,6,F,m-comm,8,10,8,6,7,1
354,355,6,Detractor,N,4,5,Married,Tier1,Cash,2,M,call,7,5,10,5,3,2
355,356,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,10,9,3,6,7,1
356,357,7,Passives,N,4,5,Married,Tier3,Card,6,M,call,5,1,9,1,6,2
357,358,4,Detractor,N,4,6,Not Married,Tier1,e-Wallet,4,F,call,1,6,9,3,5,0
358,359,2,Detractor,N,4,9,Married,Tier2,Cash,2,M,call,4,5,7,1,3,0
359,360,7,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,4,F,call,7,1,7,5,8,2
360,361,0,Detractor,N,4,10,Married,Tier1,Card,2,M,call,8,5,5,1,4,2
361,362,6,Detractor,N,4,10,Not Married,Tier2,e-Wallet,1,F,call,9,10,5,5,4,0
362,363,9,Promoter,N,4,3,Married,Tier3,Cash,6,M,call,7,4,8,8,5,1
363,364,4,Detractor,N,4,2,Not Married,Tier1,Ziggy Credit,2,F,call,3,7,4,2,1,0
364,365,10,Promoter,Y,4,2,Married,Tier1,Card,8,M,m-comm,8,2,2,5,10,1
365,366,7,Passives,N,4,6,Not Married,Tier3,e-Wallet,4,F,call,5,1,6,2,6,2
366,367,8,Passives,Y,4,3,Married,Tier1,Cash,7,M,e-comm,7,4,1,7,3,2
367,368,8,Passives,N,4,2,Not Married,Tier2,Ziggy Credit,7,F,m-comm,1,9,5,7,6,1
368,369,10,Promoter,Y,4,1,Married,Tier1,Card,9,M,m-comm,2,7,8,3,7,1
369,370,2,Detractor,N,4,8,Not Married,Tier1,e-Wallet,1,F,call,2,8,4,9,3,0
370,371,3,Detractor,N,4,7,Married,Tier2,Cash,2,M,call,4,5,1,1,6,0
371,372,7,Passives,N,4,9,Not Married,Tier3,Ziggy Credit,2,F,call,5,3,3,9,4,2
372,373,7,Passives,Y,4,4,Married,Tier1,Card,5,M,e-comm,3,3,2,6,1,2
373,374,4,Detractor,N,4,7,Not Married,Tier2,e-Wallet,4,F,call,8,9,4,4,5,0
374,375,9,Promoter,N,4,2,Married,Tier3,Cash,2,M,call,7,2,9,10,8,1
375,376,1,Detractor,N,4,5,Not Married,Tier1,Ziggy Credit,6,F,call,3,1,5,9,3,2
376,377,6,Detractor,N,4,9,Married,Tier2,Card,2,M,call,2,8,9,3,2,0
377,378,7,Passives,N,4,5,Not Married,Tier3,e-Wallet,5,F,call,4,9,2,9,8,1
378,379,1,Detractor,N,4,7,Married,Tier1,Cash,1,M,call,4,9,10,8,6,0
379,380,5,Detractor,N,4,10,Not Married,Tier2,Ziggy Credit,6,F,call,3,10,8,3,2,0
380,381,9,Promoter,Y,4,3,Married,Tier1,Card,8,M,m-comm,9,9,1,7,10,1
381,382,9,Promoter,N,4,7,Married,Tier1,e-Wallet,6,F,m-comm,10,1,6,6,10,1
382,383,10,Promoter,Y,4,10,Married,Tier1,Cash,8,M,m-comm,9,8,8,1,8,1
383,384,7,Passives,N,4,3,Not Married,Tier3,Ziggy Credit,1,F,call,5,8,2,4,7,0
384,385,1,Detractor,N,4,8,Married,Tier1,Card,3,M,call,1,10,7,6,6,0
385,386,5,Detractor,N,4,4,Not Married,Tier2,e-Wallet,2,F,call,9,3,10,3,1,2
386,387,9,Promoter,N,4,5,Married,Tier3,Cash,1,M,call,8,9,8,1,6,0
387,388,8,Passives,N,4,10,Not Married,Tier1,Ziggy Credit,7,F,e-comm,4,9,9,6,5,0
388,389,1,Detractor,N,4,7,Married,Tier2,Card,6,M,call,3,9,8,6,1,0
389,390,7,Passives,N,4,9,Not Married,Tier3,e-Wallet,2,F,call,8,3,7,3,6,2
390,391,0,Detractor,N,4,4,Married,Tier1,Cash,5,M,call,3,1,5,7,6,2
391,392,8,Passives,N,4,4,Not Married,Tier2,Ziggy Credit,7,F,m-comm,6,7,2,3,2,0
392,393,7,Passives,N,4,10,Married,Tier3,Card,7,M,call,5,6,8,5,7,1
393,394,2,Detractor,N,4,2,Not Married,Tier1,e-Wallet,5,F,call,3,3,7,3,5,2
394,395,1,Detractor,N,4,8,Married,Tier2,Cash,4,M,call,6,1,5,8,2,2
395,396,8,Passives,Y,4,10,Not Married,Tier3,Ziggy Credit,2,F,call,6,9,6,3,2,0
396,397,6,Detractor,N,4,7,Married,Tier1,Card,4,M,call,8,4,6,7,2,2
397,398,4,Detractor,N,4,5,Not Married,Tier2,e-Wallet,3,F,call,6,3,6,8,5,2
398,399,9,Promoter,Y,4,10,Married,Tier3,Cash,6,M,call,5,10,4,9,1,0
399,400,8,Passives,N,4,5,Not Married,Tier1,Ziggy Credit,4,F,e-comm,9,8,4,10,4,0
400,401,7,Passives,Y,4,3,Married,Tier2,Card,1,M,m-comm,4,1,6,9,8,2
401,402,7,Passives,Y,4,8,Not Married,Tier3,e-Wallet,6,F,call,8,8,5,7,8,1
402,403,0,Detractor,N,4,4,Married,Tier1,Cash,1,M,call,2,1,8,8,3,2
403,404,1,Detractor,N,4,7,Not Married,Tier2,Ziggy Credit,7,F,call,6,10,3,7,4,0
404,405,9,Promoter,Y,4,8,Married,Tier1,Card,9,M,m-comm,10,7,5,7,10,1
405,406,6,Detractor,N,4,8,Not Married,Tier1,e-Wallet,7,F,call,5,4,5,5,4,2
406,407,1,Detractor,N,4,4,Married,Tier2,Cash,4,M,call,6,9,4,1,6,0
407,408,7,Passives,N,4,1,Not Married,Tier3,Ziggy Credit,7,F,call,7,10,8,9,6,0
408,409,6,Detractor,N,4,8,Married,Tier1,Card,1,M,call,6,6,3,1,4,0
409,410,4,Detractor,N,4,1,Not Married,Tier2,e-Wallet,3,F,call,8,4,2,7,3,2
410,411,9,Promoter,N,4,10,Married,Tier3,Cash,7,M,call,5,4,3,1,6,1
411,412,10,Promoter,N,4,7,Married,Tier1,Ziggy Credit,8,F,m-comm,6,3,1,3,10,1
412,413,7,Passives,Y,4,9,Married,Tier2,Card,7,M,m-comm,10,5,1,9,6,1
413,414,7,Passives,N,4,1,Not Married,Tier3,e-Wallet,1,F,call,7,4,7,2,7,2
414,415,6,Detractor,N,4,7,Married,Tier1,Cash,5,M,call,2,8,6,3,4,0
415,416,6,Detractor,N,4,2,Not Married,Tier2,Ziggy Credit,6,F,call,5,5,3,9,3,2
416,417,10,Promoter,Y,4,8,Married,Tier1,Card,8,M,m-comm,1,1,1,9,9,1
417,418,1,Detractor,N,4,4,Not Married,Tier1,e-Wallet,1,F,call,5,4,5,3,1,2
418,419,4,Detractor,N,4,1,Married,Tier2,Cash,7,M,call,10,9,4,2,4,0
419,420,7,Passives,N,4,4,Not Married,Tier3,Ziggy Credit,6,F,call,5,9,2,7,4,0
420,421,9,Promoter,Y,4,2,Married,Tier1,Card,6,M,m-comm,5,4,9,8,7,1
421,422,3,Detractor,N,4,8,Not Married,Tier2,e-Wallet,6,F,call,4,7,1,3,1,0
422,423,9,Promoter,N,4,9,Married,Tier3,Cash,6,M,call,8,9,8,6,1,0
423,424,4,Detractor,N,4,7,Not Married,Tier1,Ziggy Credit,7,F,call,1,5,7,6,1,0
424,425,9,Promoter,Y,4,10,Married,Tier1,Card,9,M,m-comm,4,2,5,4,8,1
425,426,10,Promoter,N,4,6,Married,Tier1,e-Wallet,6,F,m-comm,7,7,6,9,7,1
426,427,2,Detractor,N,4,3,Married,Tier1,Cash,2,M,call,3,6,9,6,4,0
427,428,1,Detractor,N,4,10,Not Married,Tier2,Ziggy Credit,5,F,call,7,6,2,1,5,0
428,429,9,Promoter,Y,4,10,Married,Tier1,Card,5,M,m-comm,5,10,6,6,7,1
429,430,7,Passives,N,4,7,Not Married,Tier1,e-Wallet,7,F,e-comm,7,9,2,3,7,1
430,431,6,Detractor,N,4,5,Married,Tier2,Cash,2,M,call,6,7,2,1,4,0
431,432,7,Passives,N,4,10,Not Married,Tier3,Ziggy Credit,6,F,call,5,7,8,6,1,0
432,433,3,Detractor,N,4,6,Married,Tier1,Card,5,M,call,1,4,10,10,5,2
433,434,7,Passives,N,4,4,Not Married,Tier2,e-Wallet,5,F,m-comm,8,2,9,5,1,2
434,435,9,Promoter,N,4,4,Married,Tier3,Cash,3,M,call,5,1,9,3,5,2
435,436,9,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,6,5,4,6,9,1
436,437,2,Detractor,N,4,10,Married,Tier2,Card,7,M,call,2,9,4,5,4,0
437,438,8,Passives,Y,4,7,Not Married,Tier3,e-Wallet,4,F,call,6,2,9,10,9,1
438,439,3,Detractor,N,4,10,Married,Tier1,Cash,2,M,call,2,4,4,9,4,2
439,440,2,Detractor,N,4,8,Not Married,Tier2,Ziggy Credit,1,F,call,5,2,7,4,2,2
440,441,7,Passives,N,4,8,Married,Tier3,Card,3,M,call,7,9,3,2,10,1
441,442,7,Passives,N,4,10,Not Married,Tier1,e-Wallet,3,F,e-comm,6,3,3,4,2,2
442,443,0,Detractor,N,4,8,Married,Tier2,Cash,6,M,call,6,3,6,4,4,2
443,444,9,Promoter,N,4,7,Married,Tier1,Ziggy Credit,6,F,m-comm,5,10,7,4,7,1
444,445,8,Passives,Y,4,9,Married,Tier1,Card,2,M,e-comm,10,2,6,3,3,2
445,446,6,Detractor,N,4,10,Not Married,Tier2,e-Wallet,7,F,call,3,2,1,6,6,2
446,447,9,Promoter,N,4,5,Married,Tier3,Cash,7,M,call,5,6,6,2,7,1
447,448,1,Detractor,N,4,1,Not Married,Tier1,Ziggy Credit,2,F,call,2,3,9,7,6,2
448,449,3,Detractor,N,4,3,Married,Tier2,Card,6,M,call,10,4,9,9,3,2
449,450,9,Promoter,N,4,5,Married,Tier1,e-Wallet,7,F,m-comm,9,10,9,6,7,1
450,451,8,Passives,Y,4,1,Married,Tier1,Cash,3,M,e-comm,9,6,2,1,9,1
451,452,7,Passives,N,4,4,Not Married,Tier2,Ziggy Credit,3,F,m-comm,2,2,1,9,10,1
452,453,8,Passives,Y,4,9,Married,Tier3,Card,7,M,call,4,9,3,2,2,0
453,454,0,Detractor,N,4,9,Not Married,Tier1,e-Wallet,2,F,call,5,8,4,1,6,0
454,455,9,Promoter,Y,4,9,Married,Tier1,Cash,7,M,m-comm,9,4,3,6,7,1
455,456,7,Passives,N,4,3,Not Married,Tier3,Ziggy Credit,6,F,call,7,9,8,2,1,0
456,457,4,Detractor,N,4,8,Married,Tier1,Card,3,M,call,3,9,7,10,4,0
457,458,10,Promoter,N,4,5,Married,Tier1,e-Wallet,9,F,m-comm,3,9,8,9,7,1
458,459,10,Promoter,Y,4,5,Married,Tier1,Cash,5,M,m-comm,7,7,5,8,8,1
459,460,3,Detractor,N,4,10,Not Married,Tier1,Ziggy Credit,1,F,call,4,8,10,9,3,0
460,461,0,Detractor,N,4,2,Married,Tier2,Card,3,M,call,6,6,7,10,3,2
461,462,7,Passives,N,4,8,Not Married,Tier3,e-Wallet,4,F,call,5,10,1,1,5,0
462,463,4,Detractor,N,4,7,Married,Tier1,Cash,4,M,call,7,5,7,3,2,2
463,464,6,Detractor,N,4,1,Not Married,Tier2,Ziggy Credit,3,F,call,5,4,3,10,6,2
464,465,7,Passives,N,4,7,Married,Tier3,Card,6,M,call,7,7,10,5,6,1
465,466,2,Detractor,N,4,10,Not Married,Tier1,e-Wallet,4,F,call,1,5,4,9,6,2
466,467,4,Detractor,N,4,2,Married,Tier2,Cash,5,M,call,7,6,7,2,4,0
467,468,10,Promoter,N,4,6,Married,Tier1,Ziggy Credit,6,F,m-comm,8,6,3,10,7,1
468,469,5,Detractor,N,4,9,Married,Tier1,Card,2,M,call,7,8,9,4,2,0
469,470,9,Promoter,N,4,5,Married,Tier1,e-Wallet,5,F,m-comm,1,5,5,9,8,1
470,471,9,Promoter,Y,4,2,Married,Tier3,Cash,5,M,call,4,7,5,1,6,1
471,472,9,Promoter,N,4,7,Married,Tier1,Ziggy Credit,5,F,m-comm,5,9,8,7,7,1
472,473,5,Detractor,N,4,7,Married,Tier2,Card,4,M,call,2,7,4,1,6,0
473,474,8,Passives,Y,4,3,Not Married,Tier3,e-Wallet,1,F,call,4,10,6,3,7,0
474,475,5,Detractor,N,4,5,Married,Tier1,Cash,2,M,call,7,9,2,1,4,0
475,476,3,Detractor,N,4,6,Not Married,Tier2,Ziggy Credit,6,F,call,7,6,10,4,6,0
476,477,8,Passives,Y,4,1,Married,Tier3,Card,2,M,call,4,9,6,10,7,0
477,478,4,Detractor,N,4,2,Not Married,Tier1,e-Wallet,5,F,call,7,8,1,2,3,0
478,479,7,Passives,Y,4,2,Married,Tier2,Cash,7,M,m-comm,5,9,7,10,3,0
479,480,7,Passives,N,4,7,Not Married,Tier3,Ziggy Credit,2,F,call,7,2,7,3,2,2
480,481,2,Detractor,N,4,1,Married,Tier1,Card,6,M,call,9,10,5,9,1,0
481,482,5,Detractor,N,4,1,Not Married,Tier2,e-Wallet,3,F,call,8,8,3,6,6,0
482,483,7,Passives,N,4,1,Married,Tier3,Cash,4,M,call,8,9,10,4,5,0
483,484,1,Detractor,N,4,8,Not Married,Tier1,Ziggy Credit,1,F,call,10,8,9,4,4,0
484,485,8,Passives,Y,4,6,Married,Tier2,Card,1,M,m-comm,10,3,2,1,7,1
485,486,7,Passives,N,4,2,Not Married,Tier3,e-Wallet,1,F,call,7,3,5,8,7,2
486,487,6,Detractor,N,4,5,Married,Tier1,Cash,1,M,call,2,8,2,3,4,0
487,488,1,Detractor,N,4,2,Not Married,Tier2,Ziggy Credit,4,F,call,7,1,5,2,2,2
488,489,8,Passives,Y,4,9,Married,Tier3,Card,5,M,call,7,10,7,5,1,0
489,490,6,Detractor,N,4,8,Not Married,Tier1,e-Wallet,6,F,call,2,6,10,5,1,0
490,491,5,Detractor,N,4,2,Married,Tier2,Cash,2,M,call,8,9,2,5,6,0
491,492,7,Passives,N,4,6,Not Married,Tier3,Ziggy Credit,1,F,call,5,5,6,3,9,1
492,493,1,Detractor,N,4,9,Married,Tier1,Card,2,M,call,2,10,10,1,4,0
493,494,4,Detractor,N,4,2,Not Married,Tier2,e-Wallet,2,F,call,4,2,10,7,1,2
494,495,7,Passives,N,4,7,Married,Tier3,Cash,5,M,call,5,9,10,6,1,0
495,496,10,Promoter,N,4,6,Married,Tier1,Ziggy Credit,7,F,m-comm,9,1,7,10,8,1
496,497,2,Detractor,N,4,3,Married,Tier2,Card,3,M,call,8,2,3,8,2,2
497,498,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,2,F,call,7,1,9,10,3,2
498,499,4,Detractor,N,4,8,Married,Tier1,Cash,1,M,call,4,5,4,1,5,0
499,500,2,Detractor,N,4,7,Not Married,Tier2,Ziggy Credit,4,F,call,6,5,3,1,6,2
500,501,7,Passives,N,4,8,Married,Tier3,Card,2,M,call,7,6,2,2,3,0
501,502,5,Detractor,N,4,6,Not Married,Tier1,e-Wallet,6,F,call,5,1,10,10,4,2
502,503,7,Passives,Y,4,8,Married,Tier2,Cash,7,M,m-comm,8,9,7,6,2,0
503,504,7,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,1,F,call,6,9,4,10,9,1
504,505,2,Detractor,N,4,3,Married,Tier1,Card,2,M,call,7,5,9,1,3,2
505,506,3,Detractor,N,4,3,Not Married,Tier2,e-Wallet,7,F,call,5,1,8,8,2,2
506,507,9,Promoter,Y,4,10,Married,Tier1,Cash,6,M,m-comm,3,3,2,4,7,1
507,508,7,Passives,N,4,7,Not Married,Tier1,Ziggy Credit,3,F,e-comm,1,9,1,2,2,0
508,509,6,Detractor,N,4,10,Married,Tier2,Card,7,M,call,6,1,4,5,1,2
509,510,7,Passives,N,4,3,Not Married,Tier3,e-Wallet,7,F,call,8,10,1,4,4,0
510,511,4,Detractor,N,4,4,Married,Tier1,Cash,3,M,call,4,1,3,7,5,2
511,512,7,Passives,N,4,6,Not Married,Tier2,Ziggy Credit,6,F,m-comm,3,7,5,3,5,0
512,513,7,Passives,N,4,8,Married,Tier3,Card,1,M,call,5,8,5,3,1,0
513,514,2,Detractor,N,4,5,Not Married,Tier1,e-Wallet,7,F,call,5,9,9,7,3,0
514,515,7,Passives,Y,4,6,Married,Tier2,Cash,6,M,m-comm,9,8,6,3,4,0
515,516,7,Passives,N,4,1,Not Married,Tier3,Ziggy Credit,7,F,call,8,10,8,2,6,0
516,517,2,Detractor,N,4,3,Married,Tier1,Card,1,M,call,3,9,5,6,4,0
517,518,8,Passives,N,4,7,Not Married,Tier2,e-Wallet,5,F,m-comm,10,5,5,8,8,1
518,519,7,Passives,N,4,6,Married,Tier3,Cash,3,M,call,8,1,5,6,10,1
519,520,5,Detractor,N,4,1,Not Married,Tier1,Ziggy Credit,5,F,call,9,9,5,1,5,0
520,521,2,Detractor,N,4,10,Married,Tier2,Card,2,M,call,6,5,8,1,6,2
521,522,7,Passives,N,4,10,Not Married,Tier3,e-Wallet,1,F,call,4,3,6,10,4,2
522,523,8,Passives,Y,4,7,Married,Tier1,Cash,5,M,e-comm,2,4,3,10,8,1
523,524,5,Detractor,N,4,4,Not Married,Tier2,Ziggy Credit,7,F,call,9,4,3,4,3,2
524,525,7,Passives,N,4,4,Married,Tier3,Card,3,M,call,4,2,10,2,8,2
525,526,9,Promoter,N,4,6,Married,Tier1,e-Wallet,5,F,m-comm,9,10,6,7,8,1
526,527,9,Promoter,Y,4,10,Married,Tier1,Cash,6,M,m-comm,8,9,3,4,9,1
527,528,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,7,6,3,8,10,1
528,529,4,Detractor,N,4,3,Married,Tier1,Card,7,M,call,3,6,3,7,6,0
529,530,4,Detractor,N,4,3,Not Married,Tier2,e-Wallet,1,F,call,7,8,2,9,5,0
530,531,7,Passives,N,4,1,Married,Tier3,Cash,5,M,call,4,3,4,10,7,2
531,532,7,Passives,N,4,10,Not Married,Tier1,Ziggy Credit,6,F,e-comm,7,3,8,2,6,1
532,533,4,Detractor,N,4,2,Married,Tier2,Card,2,M,call,4,2,2,1,3,2
533,534,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,5,F,call,8,7,9,3,3,0
534,535,8,Passives,Y,4,5,Married,Tier1,Cash,5,M,e-comm,4,9,1,2,2,0
535,536,7,Passives,N,4,5,Not Married,Tier2,Ziggy Credit,1,F,m-comm,9,2,7,4,5,2
536,537,7,Passives,N,4,5,Married,Tier3,Card,2,M,call,4,4,7,5,5,2
